filename,search_strategy,heuristic_strategy,combination,run,cost,time,nodes_explored,feasible,optimal,heuristic_time,heuristic_calls,heuristic_improvements,bb_time,heuristic_efficiency,num_users,num_sets
scp42.txt,most_fractional,basic,most_fractional_basic,1,512.0,0.359997034072876,1,True,True,0.3249955177307129,3,0,0.035001516342163,0.0,200,1000
scp42.txt,most_fractional,intermediate,most_fractional_intermediate,1,512.0,37.228002071380615,1,True,True,37.19099974632263,4,1,0.0370023250579834,0.25,200,1000
scp42.txt,most_fractional,advanced,most_fractional_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp43.txt,depth_first,none,depth_first_none,1,516.0,0.0350027084350585,1,True,True,0.0,0,0,0.0350027084350585,0.0,200,1000
scp43.txt,depth_first,basic,depth_first_basic,1,516.0,0.3659565448760986,1,True,True,0.3309566974639892,3,0,0.0349998474121093,0.0,200,1000
scp43.txt,depth_first,intermediate,depth_first_intermediate,1,516.0,54.9803831577301,1,True,True,54.94538164138794,4,1,0.035001516342163,0.25,200,1000
scp43.txt,depth_first,advanced,depth_first_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp43.txt,breadth_first,none,breadth_first_none,1,516.0,0.0350008010864257,1,True,True,0.0,0,0,0.0350008010864257,0.0,200,1000
scp43.txt,breadth_first,basic,breadth_first_basic,1,516.0,0.309999942779541,1,True,True,0.2749991416931152,3,0,0.0350008010864257,0.0,200,1000
scp43.txt,breadth_first,intermediate,breadth_first_intermediate,1,516.0,51.17491054534912,1,True,True,51.13990950584412,4,1,0.0350010395050048,0.25,200,1000
scp43.txt,breadth_first,advanced,breadth_first_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp43.txt,best_first,none,best_first_none,1,516.0,0.0710861682891845,1,True,True,0.0,0,0,0.0710861682891845,0.0,200,1000
scp43.txt,best_first,basic,best_first_basic,1,516.0,0.3250946998596191,1,True,True,0.2830832004547119,3,0,0.0420114994049072,0.0,200,1000
scp43.txt,best_first,intermediate,best_first_intermediate,1,516.0,49.61584043502808,1,True,True,49.55483555793762,4,1,0.0610048770904541,0.25,200,1000
scp43.txt,best_first,advanced,best_first_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp43.txt,hybrid_df_bf,none,hybrid_df_bf_none,1,516.0,0.0600032806396484,1,True,True,0.0,0,0,0.0600032806396484,0.0,200,1000
scp43.txt,hybrid_df_bf,basic,hybrid_df_bf_basic,1,516.0,0.5760002136230469,1,True,True,0.5009970664978027,3,0,0.0750031471252441,0.0,200,1000
scp43.txt,hybrid_df_bf,intermediate,hybrid_df_bf_intermediate,1,516.0,49.08289456367493,1,True,True,49.04789447784424,4,1,0.0350000858306884,0.25,200,1000
scp43.txt,hybrid_df_bf,advanced,hybrid_df_bf_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp43.txt,most_fractional,none,most_fractional_none,1,516.0,0.0350027084350585,1,True,True,0.0,0,0,0.0350027084350585,0.0,200,1000
scp43.txt,most_fractional,basic,most_fractional_basic,1,516.0,0.3180019855499267,1,True,True,0.281001329421997,3,0,0.0370006561279296,0.0,200,1000
scp43.txt,most_fractional,intermediate,most_fractional_intermediate,1,516.0,51.54080843925476,1,True,True,51.50580596923828,4,1,0.0350024700164794,0.25,200,1000
scp43.txt,most_fractional,advanced,most_fractional_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp44.txt,depth_first,none,depth_first_none,1,inf,120.03484535217284,3212,False,False,0.0,0,0,120.03484535217284,0.0,200,1000
scp44.txt,depth_first,basic,depth_first_basic,1,548.0,120.00256991386414,3155,True,False,0.2739942073822021,15,0,119.72857570648192,0.0,200,1000
scp44.txt,depth_first,intermediate,depth_first_intermediate,1,504.0,120.0303716659546,1918,True,False,47.20261883735657,13,2,72.82775282859802,0.1538461538461538,200,1000
scp44.txt,depth_first,advanced,depth_first_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp44.txt,breadth_first,none,breadth_first_none,1,inf,120.0206527709961,3224,False,False,0.0,0,0,120.0206527709961,0.0,200,1000
scp44.txt,breadth_first,basic,breadth_first_basic,1,548.0,120.01845455169678,3082,True,False,0.2769973278045654,15,0,119.7414572238922,0.0,200,1000
scp44.txt,breadth_first,intermediate,breadth_first_intermediate,1,504.0,120.02009534835815,1985,True,False,46.82166910171509,13,2,73.19842624664307,0.1538461538461538,200,1000
scp44.txt,breadth_first,advanced,breadth_first_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp44.txt,best_first,none,best_first_none,1,inf,120.02027988433838,3156,False,False,0.0,0,0,120.02027988433838,0.0,200,1000
scp44.txt,best_first,basic,best_first_basic,1,548.0,120.00610494613647,3150,True,False,0.3309998512268066,15,0,119.67510509490968,0.0,200,1000
scp44.txt,best_first,intermediate,best_first_intermediate,1,504.0,120.0336241722107,1982,True,False,45.03740835189819,13,2,74.9962158203125,0.1538461538461538,200,1000
scp44.txt,best_first,advanced,best_first_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp44.txt,hybrid_df_bf,none,hybrid_df_bf_none,1,inf,120.0207462310791,3223,False,False,0.0,0,0,120.0207462310791,0.0,200,1000
scp44.txt,hybrid_df_bf,basic,hybrid_df_bf_basic,1,548.0,120.00686764717102,3127,True,False,0.2729995250701904,15,0,119.73386812210084,0.0,200,1000
scp44.txt,hybrid_df_bf,intermediate,hybrid_df_bf_intermediate,1,504.0,120.02139830589294,1961,True,False,43.84021353721619,13,2,76.18118476867676,0.1538461538461538,200,1000
scp44.txt,hybrid_df_bf,advanced,hybrid_df_bf_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp44.txt,most_fractional,none,most_fractional_none,1,inf,120.03500199317932,3201,False,False,0.0,0,0,120.03500199317932,0.0,200,1000
scp44.txt,most_fractional,basic,most_fractional_basic,1,548.0,120.0009307861328,3108,True,False,0.2849998474121094,15,0,119.7159309387207,0.0,200,1000
scp44.txt,most_fractional,intermediate,most_fractional_intermediate,1,504.0,120.0370454788208,1996,True,False,45.59168744087219,13,2,74.44535803794861,0.1538461538461538,200,1000
scp44.txt,most_fractional,advanced,most_fractional_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp45.txt,depth_first,none,depth_first_none,1,512.0,0.0339999198913574,1,True,True,0.0,0,0,0.0339999198913574,0.0,200,1000
scp45.txt,depth_first,basic,depth_first_basic,1,512.0,0.3540000915527344,1,True,True,0.3040001392364502,3,0,0.0499999523162841,0.0,200,1000
scp45.txt,depth_first,intermediate,depth_first_intermediate,1,512.0,42.72535157203674,1,True,True,42.69034814834595,4,1,0.0350034236907959,0.25,200,1000
scp45.txt,depth_first,advanced,depth_first_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp45.txt,breadth_first,none,breadth_first_none,1,512.0,0.0350024700164794,1,True,True,0.0,0,0,0.0350024700164794,0.0,200,1000
scp45.txt,breadth_first,basic,breadth_first_basic,1,512.0,0.3079993724822998,1,True,True,0.2719957828521728,3,0,0.0360035896301269,0.0,200,1000
scp45.txt,breadth_first,intermediate,breadth_first_intermediate,1,512.0,41.67397046089173,1,True,True,41.63896703720093,4,1,0.0350034236907959,0.25,200,1000
scp45.txt,breadth_first,advanced,breadth_first_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp45.txt,best_first,none,best_first_none,1,512.0,0.036003828048706,1,True,True,0.0,0,0,0.036003828048706,0.0,200,1000
scp45.txt,best_first,basic,best_first_basic,1,512.0,0.351994514465332,1,True,True,0.3159940242767334,3,0,0.0360004901885986,0.0,200,1000
scp45.txt,best_first,intermediate,best_first_intermediate,1,512.0,44.2127685546875,1,True,True,44.17676758766174,4,1,0.0360009670257568,0.25,200,1000
scp45.txt,best_first,advanced,best_first_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp45.txt,hybrid_df_bf,none,hybrid_df_bf_none,1,512.0,0.0340008735656738,1,True,True,0.0,0,0,0.0340008735656738,0.0,200,1000
scp45.txt,hybrid_df_bf,basic,hybrid_df_bf_basic,1,512.0,0.3050014972686767,1,True,True,0.2680015563964844,3,0,0.0369999408721923,0.0,200,1000
scp45.txt,hybrid_df_bf,intermediate,hybrid_df_bf_intermediate,1,512.0,44.46955585479736,1,True,True,44.43555521965027,4,1,0.0340006351470947,0.25,200,1000
scp45.txt,hybrid_df_bf,advanced,hybrid_df_bf_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp45.txt,most_fractional,none,most_fractional_none,1,512.0,0.0340015888214111,1,True,True,0.0,0,0,0.0340015888214111,0.0,200,1000
scp45.txt,most_fractional,basic,most_fractional_basic,1,512.0,0.3419950008392334,1,True,True,0.2999939918518066,3,0,0.0420010089874267,0.0,200,1000
scp45.txt,most_fractional,intermediate,most_fractional_intermediate,1,512.0,39.97032761573792,1,True,True,39.93632340431213,4,1,0.0340042114257812,0.25,200,1000
scp45.txt,most_fractional,advanced,most_fractional_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp46.txt,depth_first,none,depth_first_none,1,inf,120.00576043128969,3345,False,False,0.0,0,0,120.00576043128969,0.0,200,1000
scp46.txt,depth_first,basic,depth_first_basic,1,615.0,120.01523566246031,3239,True,False,0.2679979801177978,16,0,119.74723768234252,0.0,200,1000
scp46.txt,depth_first,intermediate,depth_first_intermediate,1,583.0,120.07167768478394,2481,True,False,31.25957417488098,16,2,88.81210350990295,0.125,200,1000
scp46.txt,depth_first,advanced,depth_first_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp46.txt,breadth_first,none,breadth_first_none,1,inf,120.01417064666748,3367,False,False,0.0,0,0,120.01417064666748,0.0,200,1000
scp46.txt,breadth_first,basic,breadth_first_basic,1,615.0,120.01279187202454,3215,True,False,0.3259952068328857,15,0,119.68679666519164,0.0,200,1000
scp46.txt,breadth_first,intermediate,breadth_first_intermediate,1,583.0,120.0045201778412,2505,True,False,29.88807773590088,16,2,90.11644244194032,0.125,200,1000
scp46.txt,breadth_first,advanced,breadth_first_advanced,1,inf,120.0,0,,False,0.0,0,0,120.0,0.0,200,1000
scp46.txt,best_first,none,best_first_none,1,inf,120.0150065422058,3395,False,False,0.0,0,0,120.0150065422058,0.0,200,1000
