,,cost,cost,cost,cost,time,time,time,time,bb_time,heuristic_time,nodes_explored,nodes_explored,nodes_explored,optimal,optimal,heuristic_calls,heuristic_improvements,heuristic_efficiency
,,mean,min,std,count,mean,min,max,std,mean,mean,mean,min,max,sum,count,mean,mean,mean
filename,combination,,,,,,,,,,,,,,,,,,
scp42.txt,best_first_basic,512.0,512.0,,1,0.367,0.367,0.367,,0.037,0.33,1.0,1,1,1,1,3.0,0.0,0.0
scp42.txt,best_first_intermediate,512.0,512.0,,1,38.072,38.072,38.072,,0.037,38.035,1.0,1,1,1,1,4.0,1.0,0.25
scp42.txt,best_first_none,512.0,512.0,,1,0.036,0.036,0.036,,0.036,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp42.txt,breadth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp42.txt,breadth_first_basic,512.0,512.0,,1,0.312,0.312,0.312,,0.035,0.277,1.0,1,1,1,1,3.0,0.0,0.0
scp42.txt,breadth_first_intermediate,512.0,512.0,,1,41.1387,41.1387,41.1387,,0.038,41.1007,1.0,1,1,1,1,4.0,1.0,0.25
scp42.txt,breadth_first_none,512.0,512.0,,1,0.035,0.035,0.035,,0.035,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp42.txt,depth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp42.txt,depth_first_basic,512.0,512.0,,1,0.338,0.338,0.338,,0.035,0.303,1.0,1,1,1,1,3.0,0.0,0.0
scp42.txt,depth_first_intermediate,512.0,512.0,,1,40.0409,40.0409,40.0409,,0.035,40.0059,1.0,1,1,1,1,4.0,1.0,0.25
scp42.txt,depth_first_none,512.0,512.0,,1,0.035,0.035,0.035,,0.035,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp42.txt,hybrid_df_bf_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
