filename,search_strategy,heuristic_strategy,combination,run,cost,time,nodes_explored,optimal,heuristic_time,heuristic_calls,heuristic_improvements,bb_time,heuristic_efficiency
scp41.txt,hybrid_df_bf,intermediate,hybrid_df_bf_intermediate,1,429.0,17.140997648239136,1,True,17.107996225357056,4,1,0.03300142288208008,0.25
scp41.txt,hybrid_df_bf,intermediate,hybrid_df_bf_intermediate,2,429.0,17.371999263763428,1,True,17.339998960494995,4,1,0.03200030326843262,0.25
scp41.txt,hybrid_df_bf,intermediate,hybrid_df_bf_intermediate,3,429.0,17.596006393432617,1,True,17.563005924224854,4,1,0.03300046920776367,0.25
scp41.txt,hybrid_df_bf,advanced,hybrid_df_bf_advanced,1,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp41.txt,hybrid_df_bf,advanced,hybrid_df_bf_advanced,2,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp41.txt,hybrid_df_bf,advanced,hybrid_df_bf_advanced,3,inf,60.0,0,False,0.0,0,0,60.0,0.0
scp41.txt,most_fractional,none,most_fractional_none,1,429.0,0.06401515007019043,1,True,0.0,0,0,0.06401515007019043,0.0
scp41.txt,most_fractional,none,most_fractional_none,2,429.0,0.03200078010559082,1,True,0.0,0,0,0.03200078010559082,0.0
scp41.txt,most_fractional,none,most_fractional_none,3,429.0,0.03400015830993652,1,True,0.0,0,0,0.03400015830993652,0.0
scp41.txt,most_fractional,basic,most_fractional_basic,1,429.0,0.30899882316589355,1,True,0.2729971408843994,3,0,0.03600168228149414,0.0
scp41.txt,most_fractional,basic,most_fractional_basic,2,429.0,0.29600048065185547,1,True,0.2619969844818115,3,0,0.034003496170043945,0.0
scp41.txt,most_fractional,basic,most_fractional_basic,3,429.0,0.30499958992004395,1,True,0.26999998092651367,3,0,0.03499960899353027,0.0
scp41.txt,most_fractional,intermediate,most_fractional_intermediate,1,429.0,17.222994089126587,1,True,17.189992666244507,4,1,0.03300142288208008,0.25
scp41.txt,most_fractional,intermediate,most_fractional_intermediate,2,429.0,18.218005657196045,1,True,18.184005737304688,4,1,0.03399991989135742,0.25
