WKT,название,описание
"POINT (15.0969993 47.3880189)",1-1,
"POINT (15.0927292 47.3873724)",1-2,
"POINT (15.0879251 47.3818952)",1-3,
"POINT (15.0952186 47.383311)",1-4,
"POINT (15.0904908 47.3821828)",2-1,
"POINT (15.0952544 47.3831562)",2-2,
"POINT (15.0908781 47.380421)",2-3,
"POINT (15.0961839 47.3810273)",2-4,
